Material_ID,RFQ_ID,Part_Number,Quantity_Required,Material_Description,Notes,Position
732,284,4156192,2400,LANA MINERAL 1M X 2.4M 100MM 100KG/M3,"LANA MINERAL, 1M X 2.4M, ESPESOR 100MM, DENSIDAD 100KG M3",1
723,277,000000000000715275,11,"Vacuum filters   (ELEMNT,P/FILTR:COMBUSTIBLE ACEITE,DI 6-1)","
ELEMENTO,PARA FILTRAR: TIPO: COMBUSTIBLE ACEITE TAMAÑO: DI 6-1/8"" X DE 8"" X L 32-1/2"" RETENCIÓN DE FILTRADO:10 MICRÓN MATERIAL:AÇO INOX 304 TEXTO (TEXT):PRESSURE:10BAR, ATTRIBUTE:MESH, BETA 200, USE:ALSTHOM GASTURBINE MODEL MS5001 TYPE PG5341 FABRICANTE (MANUFACTURER): LANZ ECOFILTER:729-KV-4-118-D-10-8-33-F1/E
",2
742,291,4115364,195000,"ELECTRODO 3/32"" 308H","ELECTRODO, DESIGNACION FABRICANTE: 308H, DIAMETRO: 3 32"", USO O APLICACION: ACERO INOXIDABLE",2
741,291,4115363,200000,"ELECTRODO 1/8"" E308H","ELECTRODO, DESIGNACION FABRICANTE: E308H, DIAMETRO: 1 8"", USO O APLICACION: ACERO INOXIDABLE",1
733,285,4213292,36,"ALAMBRE TUBULAR SOL CARB 1,2mm E81T1A1","ALAMBRE; TIPO: TUBULAR SOLDADURA; MATERIAL: CARBONO MOLIBDENO; DIAMETRO:1,2mm; ESTANDARES Y ESPECIFICACIONES: CLASIFICACION AWS A5.20 E81T1-A1,CARACTERISTICAS ADICIONALES: DEBE VENIR EN ROLLOS DE 15KG",1
739,290,4058968,24000,TUBO LISO HDPE PE100 160mmX12m PN10,"TUBO; TIPO TUBO: LISO; DIAMETRO: 160mm; LONGITUD: 12m; DESIGNADOR ESPESOR PARED: 10,1mm; MATERIAL: POLIETILENO ALTA DENSIDAD (PE100) ; PRESION OPERACIONAL MAXIMA: PN10; CARACTERISTICAS ADICIONALES: PESO POR METRO (kg): 4,52, PESO TOTAL (kg): 54,24",1
740,290,4058969,6000,TUBO LISO HDPE PE100 160mmX12m PN16,"TUBO; TIPO TUBO: LISO; DIAMETRO: 160mm; LONGITUD: 12m; DESIGNADOR ESPESOR PARED: 15,4mm; MATERIAL: POLIETILENO ALTA DENSIDAD (PE100) ; PRESION OPERACIONAL MAXIMA: PN16; CARACTERISTICAS ADICIONALES: PESO POR METRO (kg): 6,67, PESO TOTAL (kg): 80,04",2
40,29,2593222,15,"FILTER ELEMENT,AIRCON,CAT 2593222","FILTER ELEMENT,AIRCON,CAT 2593222",1
62,37,11388778,86,"Sello,Llanura Short Name: Sello,Liso Medios De Aplicación: Polvo Datos De Sello: PV351 Fabricante VIFMA SPA Número de pieza VF57635997","WI Referencial no generará Orden de Compra inmediata.
 
Se requiere vigencia de cotización mínimo 3 meses (Precio proyectado y Plazo Entrega)

En caso de que se genere un requerimiento por parte de nuestro cliente, se creará una nueva WI en forma directa, considerar que no necesariamente será por el total de las unidades solicitadas en esta WI, la cual es la demanda de 6 meses.

Cualquier duda o consulta contactar a
 Maria Isabel  
+56 9 98224964
correo msantander@sawu.cl",1
72,45,11394400,140,"Cinta,Reparacion Tubería Short Name: Cinta,Reparacion Tubería Tipo De Cinta: Universal Ancho De Cinta: 100mm ancho Largo De Cinta: 3.6m lg Tape setting time: 15min tiempo reparación Características Especiales: 50 a 100mm dia tubería Características Especiales: 3mm tamaño orificio Características Especiales: 6bar max tuberia press Marca SYLWRAP","WI Referencial no generará Orden de Compra inmediata.
 
Se requiere vigencia de cotización mínimo 3 meses (Precio proyectado y Plazo Entrega)

En caso de que se genere un requerimiento por parte de nuestro cliente, se creará una nueva WI en forma directa, considerar que no necesariamente será por el total de las unidades solicitadas en esta WI, la cual es la demanda de 6 meses.

Cualquier duda o consulta contactar a
 Maria Isabel  
+56 9 98224964
correo msantander@sawu.cl",1
66,40,10374542,42,"INTERRUPTOR,PROXIMIDAD Fabricante TELEMECANIQUE Número de pieza XSA-V11151","WI Referencial no generará Orden de Compra inmediata.
 
Se requiere vigencia de cotización mínimo 3 meses (Precio proyectado y Plazo Entrega)

En caso de que se genere un requerimiento por parte de nuestro cliente, se creará una nueva WI en forma directa, considerar que no necesariamente será por el total de las unidades solicitadas en esta WI, la cual es la demanda de 6 meses.

Cualquier duda o consulta contactar a
 Maria Isabel  
+56 9 98224964
correo msantander@sawu.cl",1
67,40,10417339,78,"SENSOR,INDUCTIVO,CORRIENTE CONTINUA Fabricante TELEMECANIQUE Número de pieza XS630B2PBL01M12","WI Referencial no generará Orden de Compra inmediata.
 
Se requiere vigencia de cotización mínimo 3 meses (Precio proyectado y Plazo Entrega)

En caso de que se genere un requerimiento por parte de nuestro cliente, se creará una nueva WI en forma directa, considerar que no necesariamente será por el total de las unidades solicitadas en esta WI, la cual es la demanda de 6 meses.

Cualquier duda o consulta contactar a
 Maria Isabel  
+56 9 98224964
correo msantander@sawu.cl",2
63,38,10919746,137,"Lámpara,Incandecent Nombre abreviado Lámpar Voltaje de lámpar 24v Potencia nominal 32w Denominación/tip de lámpar Led Datos luminosos 3200 lm Fabricante TTPM LIMITADA Número de pieza FL.RI.3345.00","WI Referencial no generará Orden de Compra inmediata.
 
Se requiere vigencia de cotización mínimo 3 meses (Precio proyectado y Plazo Entrega)

En caso de que se genere un requerimiento por parte de nuestro cliente, se creará una nueva WI en forma directa, considerar que no necesariamente será por el total de las unidades solicitadas en esta WI, la cual es la demanda de 6 meses.

Cualquier duda o consulta contactar a
 Maria Isabel  
+56 9 98224964
correo msantander@sawu.cl",1
