Material_ID,RFQ_ID,Part_Number,Quantity_Required,Material_Description,Notes,Position
15192,5779,10373074,,"FLOCCULANT,GRAN,MAGNAFLOC-333,BAG/25KG","Nombre corto Floculante
Floculante Procesamiento minerales
Forma foculenta Granulado
Grado floculento Magnafloc-333
Datos Embalaje Bolsa/25kg

Fabricante
ALLIED COLLOIDS
Número de pieza
MAGNAFLOC-333",1
,,,,,Legacy RFQ,1
15377,5847,1415275,1,AIRE ACONDICIONADO PORTATIL FRIO/CALOR,"AIRE ACONDICIONADO, PORTATIL, FRIO CALOR, CAPACIDAD: 12000BTU, POTENCIA NOMINAL: 1380W, TENSION: 120V, FRECUENCIA: 60HZ, GAS REFRIGERANTE: R410A, TUBO INTERNO: COBRE, TIMER: 0-24 HORAS, VELOCIDADES: 3, DIMENSIONES: 50.8X81.2X42.5CM (ALTO X ANCHO X PROFUNDIDAD), INCLUYE: CONTROL REMOTO, FRIGIDAIRE.  LA TENSIÓN PUEDE SER SOLICITADA EN 120 V O 220 V. LA FRECUENCIA PUEDE SER SOLICITADA EN 60HZ O 50 HZ.",1
15381,5851,1366603,1,ENCODER INCREMENTAL HUBNER HUB16DN1024R,"ESTIMADO PROVEEDOR ES OBLIGATORIO ADJUNTAR FICHAS TÉCNICAS, HOJAS DE DATOS  O PLANOS, SEGÚN CORRESPONDA. NO SE ACEPTAN CATALOGOS (SI VA A ENVIAR CATALOGO FAVOR RESALTAR EL ITEM OFERTADO, O INDICAR LA PAG. DONDE SE REFERENCIA EL MATERIAL)  EN CASO DE QUE EL MATERIAL ESTE DESCONTINUADO O TENGA UN NÚMERO DE PARTE QUE NO CORRESPONDA, FAVOR COTIZAR INDICANDO DETALLES DEL NUEVO PRODUCTO Y ADJUNTANDO RESPECTIVA INFORMACION TÉCNICA.",1
15420,5867,1422307,1,VALVULA PINCH FLOWROX PVE100ABU10603LRZX,"VALVULA; MODIFICADOR: PINCH; NOMBRE FABRICANTE: FLOWROX; CODIGO DESIGNACION: PVE100ABU10-603L RZX; EQUIPO DEL QUE ES PARTE: SIN INFO RMACION; FABRICANTE DEL EQUIPO: SIN INFORMACION; MODELO DEL EQUIPO: SIN INFORMACION; NUMERO DE SERIE DEL EQUIPO: SIN INFORMACION; CA RACTERISTICAS ADICIONALES: TIPO CERRADO, TAMAÑO DN100, PRESION 10bar, ACTUADOR RESORTE NEUMATICO, FLANGE ANSI 150, MATERIAL CUERPO F IERRO FUNDIDO, MANGA SBRT,SBRT",1
15421,5867,1422313,1,VALVULA FLOWROX LKF200M1060S0NRT,"VALVULA; MODIFICADOR: GUILLOTINA; NOMBRE FABRICANTE: FLOWROX; CODIGO DESIGNACION: LKF200M10-60 S0-NR-T; EQUIPO DEL QUE ES PARTE: SIN  INFORMACION; FABRICANTE DEL EQUIPO: SIN INFORMACION; MODELO DEL EQUIPO: SIN INFORMACION; NUMERO DE SERIE DEL EQUIPO: SIN INFORMACIO N; CARACTERISTICAS ADICIONALES: TIPO LUG, TAMAÑO DN200, PRESION 10bar, ACTUADOR MANUAL, MATERIAL CUERPO FIERRO FUNDIDO",2
15422,5867,1422317,1,VALVULA FLOWROX LKW100M1060S0NR,"VALVULA; MODIFICADOR: GUILLOTINA; NOMBRE FABRICANTE: FLOWROX; CODIGO DESIGNACION: LKW100M10- 60S0-NR; EQUIPO DEL QUE ES PARTE: SIN I NFORMACION; FABRICANTE DEL EQUIPO: SIN INFORMACION; MODELO DEL EQUIPO: SIN INFORMACION; NUMERO DE SERIE DEL EQUIPO: SIN INFORMACION;  CARACTERISTICAS ADICIONALES: TIPO WAFER, TAMAÑO DN150, PRESION 10bar, ACTUADOR MANUAL, MATERIAL CUERPO FIERRO FUNDIDO",3
15383,5853,1522011,1,COLLAR POLVO SANDVIK 4526435001,COLLAR; MODIFICADOR: POLVO; NOMBRE FABRICANTE: SANDVIK; NUMERO DE PARTE: 452.6435-001; EQUIPO DEL QUE ES PARTE: CHANCADOR; FABRICANT  E DEL EQUIPO: SANDVIK,1
15426,5871,1152227,1,FIBRA OPTICA 90MM 880NM 3M FSG30UA,"FIBRA OPTICA, CARACTERISTICAS GENERALES: DISTANCIA 90MM, INFRAROJO 880NM, CABLE CONEXION 3M, DESIGNACION FABRICANTE: FSG30-UA",1
15399,5863,4125773,1,BUZO RET AGENTE QCO ALTA CON T-XL VARON,"BUZO; TIPO: RETARDANTE AGENTE QUIMICO ALTA CONCENTRACION; MATERIAL: TELA IMPERMEABLE RESISTENTE A QUIMICOS; TALLA COMERCIAL: XL; USO  DESIGNADO: AMBIENTES DONDE EXISTA PRESENCIA DE SALPICADURAS DE ACIDO O NEBLINA ACIDA; ESTANDARES Y ESPECIFICACIONES: UNE-EN-340, UN E-EN ISO 6530, UNE 40380: 1985, EN 943-1: 2015  EN 943-2: 2015, UNE-EN 14605, EN 343: 2003 + A1: 2007, EN 1149-5: 2008, EN ISO 14116 : 2008, O EQUIVALENTE, REGISTRO ISP; CARACTERISTICAS ADICIONALES: FLEXIBLE Y LIGERO, COSTURAS SELLADAS ALTA FRECUENCIA, CIERRE FRONT AL BAJO DOBLE TAPETA CON CIERRE POR VELCRO, MANGAS Y PIERNAS AJUSTABLES, ALTAS CONCENTRACIONES DE SUSTANCIAS ACIDAS, EL CUAL DEBE SE R IMPERMEABLE, TAMBIEN DEBE CONTAR CON TODAS LAS CARACTERISTICAS QUE EXIGE LAS NORMAS PARA PROTEGER AL TRABAJADOR AL EXPONERSE A DAÑ OS PRODUCTO DEL CONTACTO DIRECTO DE LIQUIDOS ACIDOS DE ALTA CONCENTRACION DE ACIDO, VER FICHA N° 145",1
