Query,Output
"KIT DE VIGILANCIA ALTERNATIVO MARCA WINGS, AUDIFONO CON ESPIRAL TRASLUCIDO PARA PORTATIL HYTERA MODELOS PD-416. W-4022-HYT1 Not Available",Output: W-4022-HYT1
"AUDíFONO ALTERNATIVO MARCA WINGS, CON MICRóFONO PTT Y SOPORTE TIPO G PARA PORTATIL HYTERA MODELO PD-416. W-2222L-HYT1 Not Available",W-2222L-HYT1
KIT VIGILANCIA ALTERNATIVO. AUDIFONO CON MICROFONO Y ESPIRAL ACUSTICO (PARA HYTERA MODELO PD606) Not Available,cant find the part number
BATERIA ORIGINAL HYTERA 1500 MAH PARA PD4-PD6 Not Available,cant find the part number
Copla EMT 20mm Not Available,cant find the part number
1354778 RELOJ INDICADOR DE TEMPERATURA Not Available,1354778
Fabricación de resorte Not Available,cant find the part number
GUANTES MULTIUSO VIRUTEX TALLA L Not Available,cant find the part number
BOLSAS BASURA CHICA 50x70 VIRUTEX Not Available,cant find the part number
Rastrillo barre hojas Plástico 22 dientes Not Available,cant find the part number
ESCOBILLON TRADICIONAL VIRUTEX Not Available,cant find the part number
TOALLAS HUMEDAS Not Available,cant find the part number
LIMPIADOR PISO 5 LT LAVANDA Not Available,cant find the part number
GUANTES MULTIUSO VIRUTEX TALLA M Not Available,cant find the part number
JABON LIQ 5 LT TREMEX LAVANDA C/GLICE Not Available,cant find the part number
DESODORANTE AMBIENTAL AROMA LAVANDA Not Available,cant find the part number
Rastrillo barre hojas metlico 22 dientes Not Available,cant find the part number
BOLSAS BASURA MEDIANA 70x90 VIRUTEX Not Available,cant find the part number
BOLSAS BASURA GRANDE 80 X 110 VIRUTEX Not Available,cant find the part number
ESCOBA RAMA 4 COTURAS Not Available,Output: cant find the part number
PAÑO PARA SACUDIR NARANJO Not Available,cant find the part number
Manos libres radio Handy Not Available,cant find the part number
Radio Handy Not Available,cant find the part number
Funda para Handy Not Available,cant find the part number
"PERNO THYSSEN KRUPP 4218004 PERNO, FABRICANTE: THYSSEN KRUPP, NUMERO DE PARTE: 4218004",4218004
"DISTRIBUIDOR LUBRI THYSSEN KRUPP 4213616 DISTRIBUIDOR LUBRICANTE, REFERENCIA FABRICANTE: THYSSEN KRUPP 4213616",4213616
"BUJE DEVA AUTOLUB CJTO PLNSMDGM02524L1-2 CONJUNTO BUJE; MODIFICADOR: DEVA AUTOLUBRICANTE; NUMERO PLANO: SM-DGM-025-24-L1 SM-DGM-025-24-L2; NUMERO REVISION: 0 0; USO DESIGNADO:TRIPPER CAR 220-TB-001; CARACTERISTICAS ADICIONALES: REFERENCIA TAKRAF40002036, INCLUYE 02 BUJE ESPECIAL DEVA (DIAMETRO 500 540X60mm LARGO),01 ANILLO ESPECIAL DEVA, PARTIDO (DIAMETRO 530mm)",PLNSMDGM02524L1-2
"CLIP SUJECION 150MM ACERO EBO DF150E4 CLIP SUJECION, ALTO: 150MM, MATERIAL: ACERO INOXIDABLE E4 1.4401AISI316, DENOMINACION FABRICANTE: DF 150 E4. 50 UNIDADES EBO 957903USO CH01: AREA MOLIBDENO Y FILTROS",DF150E4
"CLIP SUJECION 150MM ACERO EBO DF150E4 CLIP SUJECION, ALTO: 150MM, MATERIAL: ACERO INOXIDABLE E4 1.4401AISI316, DENOMINACION FABRICANTE: DF 150 E4. 50 UNIDADES EBO 957903USO CH01: AREA MOLIBDENO Y FILTROS",DF150E4
"CABLE HDMI ALTA VEL 1,8m CABLE; DESIGNADOR TIPO MODELO: HDMI ALTA VELOCIDAD; LONGITUD: 1,8m (6 ); ESTANDARES Y ESPECI FICACIONES: CONECTORES: MACHO - MACHO;CARACTERISTICAS ADICIONALES: RESOLUCION: 1080P@60HZ 12-BIT; MARCAS SUGERIDAS: KRAMER ELECTRON ICS, MODELO: C-HM HM-6",Output: C-HM HM-6
"CABLE HDMI ALTA VEL 1,8m CABLE; DESIGNADOR TIPO MODELO: HDMI ALTA VELOCIDAD; LONGITUD: 1,8m (6 ); ESTANDARES Y ESPECI FICACIONES: CONECTORES: MACHO - MACHO;CARACTERISTICAS ADICIONALES: RESOLUCION: 1080P@60HZ 12-BIT; MARCAS SUGERIDAS: KRAMER ELECTRON ICS, MODELO: C-HM HM-6",Output: C-HM HM-6
"CABLE HDMI ALTA VEL 3m CABLE; DESIGNADOR TIPO MODELO: HDMI ALTA VELOCIDAD; LONGITUD: 3m (10 ); ESTANDARES Y ESPECIF ICACIONES: CONECTORES: MACHO - MACHO; C ARACTERISTICAS ADICIONALES: RESOLUCION: 1080P@60HZ 12-BIT; MARCAS SUGERIDAS: KRAMER ELECTRONI CS, MODELO: C-HM HM-10",Output: C-HM HM-10
GOLILLA PLANA INOX M10 Not Available,cant find the part number
DILUYENTE DUCO EN ENVASES DE 1 LT. Not Available,cant find the part number
ATORNILLADOR ELECTRICO Not Available,cant find the part number
JUEGO LLAVES TORX T-10 T50 9PZ Not Available,cant find the part number
APRETA TERMINAL 6-22MM Not Available,cant find the part number
JUEGO BOTADORES Not Available,cant find the part number
SOPORTE PARA SOLDAR CON CAUTIN Not Available,cant find the part number
CAJA DE TERMINALES ELECTRICOS Not Available,cant find the part number
CARRO PORTA HTA 7 CAJONES #1472K7 BAHCO Not Available,1472K7
"LLAVE DE TORQUE DE 1/2"" NM Not Available",cant find the part number
LINTERNA IMANTADA Not Available,cant find the part number
PIROMETRO Not Available,cant find the part number
SET DE LIMAS Not Available,cant find the part number
"ALICATE AJUSTABLE 10"" (PICO DE LORO) Not Available",cant find the part number
JUEGO DE LLAVE ALLEN 8 MM A 24 MM Not Available,cant find the part number
PASTA SOLDAR Not Available,cant find the part number
"JUEGO DE ALICATES (UNIV, CORT Y PUNTA) Not Available",cant find the part number
GRASERA AUTOMATICA DE 10KG Not Available,cant find the part number
PASTA SOLDAR 100G Not Available,cant find the part number
CAUTIN 60W LAPIZ INOXCROM Not Available,cant find the part number
"CAIMAN CURVO 10"" Not Available",cant find the part number
JGO PUNTOS Y CINCELES 6 PIEZAS Not Available,cant find the part number
PISTOLA DE CALOR 220W MAKITA HG6530V Not Available,cant find the part number
"ALICATE CAIMAN STANLEY 7"" Not Available",cant find the part number
MARCO SIERRA Not Available,cant find the part number
JGO ALICATES PARA SEGURO SEGER Not Available,cant find the part number
JUEGO DE SIERRA COPAS MODELO 3834 SET 94 Not Available,cant find the part number
ESMERIL ANGULAR INALAMBRICO Not Available,cant find the part number
TENAZA PELACABLES AUTOMATICA Not Available,cant find the part number
KIT DE O´RING Y DEARING Not Available,cant find the part number
JUEGO 26 LLAVES PUNTA CORONA BAHCO 111M/ Not Available,cant find the part number
"SET DE DADOS LARGOS DE CUADRANTE DE 1/2"" Not Available",cant find the part number
NIVEL LASER INALÁMBRICO ROJO +BATERÍA Not Available,cant find the part number
LLAVE INALÁMBRICA DE IMPACTO ½ ‘ Not Available,cant find the part number
FLUX PARA SOLDAR Not Available,cant find the part number
"COMPRESOR 1.5 HP, 125 LBS, 220 V. SCHULZ Not Available",cant find the part number
PISTOLA DE IMPACTO INALAMBRICA 1/2 Not Available,cant find the part number
"DIABLITO 15"" Not Available",Output: cant find the part number
TECLE DE 1 TON Not Available,cant find the part number
1 SEÑORITA DE 1 TONELADA Not Available,cant find the part number
TECLE PARA 5 TON YALE Not Available,cant find the part number
BARRA DE DESMONTAR 445 MM Not Available,cant find the part number
MACETA DE BRONCE DE 10 LIBRAS Not Available,cant find the part number
SOPLETE A GAS BUTANO Not Available,cant find the part number
PUNTILLA TALADRO PALETA Not Available,cant find the part number
PUNTILLA TALADRO CRUZ Not Available,cant find the part number
JUEGO PUNTA HEXAGONAL MAGNETICA Not Available,cant find the part number
JUEGO DADO BAHCO 1/4-3/8-1/2 138 PIEZAS Not Available,cant find the part number
JUEGO DE LLAVES ALLEN 5-19MM 1/2 Not Available,cant find the part number
FLEXOMETRO 8MTS. Not Available,cant find the part number
"MARTILLO CARPINTERO ACERO, Not Available",cant find the part number
AMPERIMETRO DE TENAZA UNI-T MOD. UT204A Not Available,ut204a
JUEGO DE ALICATES Not Available,cant find the part number
"""LLAVE AJUSTABLE DE 12"" Not Available",cant find the part number
"""LLAVE AJUSTABLE 8"""" "" Not Available",cant find the part number
AMPERIMETRO Not Available,cant find the part number
"LLAVE AJUSTABLE 10"" DIELECTRICO Not Available",cant find the part number
TALADRO INALAMBRICO 24V CON BATERIA Not Available,cant find the part number
JUEGO DE LLAVE ALLEN MILI 9770 PULG 9785 Not Available,9770
"PINZA C ""TIPO CAIMAN"" Not Available",cant find the part number
JUEGOS DE DESTORNILLADOR DIELECTRICO Not Available,cant find the part number
JUEGO DE ALICATE DIELECTRICO Not Available,cant find the part number
AUTOPERFORANTE C/HEX+GOLILLA INOX 10X1'' Not Available,cant find the part number
CUCHILLO PELACABLE DIELECTRICO Not Available,cant find the part number
JUEGO ATORNILLADOR DE GOLPE Not Available,cant find the part number
"LLAVE AJUSTABLE 12"" Not Available",cant find the part number
"CAIMAN 10"" Not Available",cant find the part number
"CAJA HERRAMIENTA 16"", BUENAS CALIDAD Not Available",cant find the part number
ESPIRALES ENCUAD.20MM NEGRO X 50 UD.IBICO 58 PAS Not Available,cant find the part number
ESPIRALES ENCUAD.29MM NEGRO X 25 UD.IBICO 58 PAS Not Available,cant find the part number
NOTA ADHESIVA 3M POST-IT 656 MEDIANO AMARILLO Not Available,cant find the part number
NOTA ADHESIVA 3M POST-IT 655 GRANDE AMARILLO Not Available,cant find the part number
ALARGADOR ELECTR. 5 MTS 5 POSIC RITTIG Not Available,cant find the part number
BOLIGRAFO GEL 0.7 PENTEL ENERGEL PTA.METAL NEGRO Not Available,cant find the part number
BOLIGRAFO GEL 0.7 PENTEL ENERGEL PTA.METAL ROJO Not Available,cant find the part number
TE HIERBAS LIPTON 100 BL SURTIDAS Not Available,cant find the part number
TE LIPTON ROYAL 100 BL ETIQUETA NEGRA. Not Available,cant find the part number
TONER HP 126 CYAN CE311A CP1025 PR01000 Not Available,PR01000
TONER HP 126 YELLOW CE312A CP1025 PR0100 Not Available,PR0100
TONER HP 126 MAGENTA CE313A CP1025 PR010 Not Available,CE313A
CAFE NESCAFE TRADICION 420 GR GRANULADO Not Available,cant find the part number
TONER HP 126A CE310A NEGRA Not Available,cant find the part number
LUSTRA MUEBLE CREMA TRADICIONAL 500CC Not Available,cant find the part number
DOBLE CLIPS NEGROS 1/2 - 13MM X 12 ISOFIT Not Available,cant find the part number
DOBLE CLIPS NEGROS 2- 51MM X 12UN TORRE Not Available,cant find the part number
DESTACADOR ADIX PALETA TRANSPARENTE VERDE Not Available,cant find the part number
Kit Teclado y Mouse Kensington Alambrico For Life K72436ES Español Not Available,cant find the part number
DESTACADOR ESCRITORIO NARANJA Not Available,cant find the part number
DESTACADOR ESCRITORIO AMARILLO Not Available,cant find the part number
AZUCAR 1 KL. IANSA BOLSA Not Available,cant find the part number
CUCHILLO CARTONERO ACERO Not Available,cant find the part number
ESCOBILLON PLASTICO C/MANGO Not Available,cant find the part number
