Query,Output
"LANA MINERAL 1M X 2.4M 100MM 100KG/M3 LANA MINERAL, 1M X 2.4M, ESPESOR 100MM, DENSIDAD 100KG M3",cant find the part number
"Vacuum filters (ELEMNT,P/FILTR:COMBUSTIBLE ACEITE,DI 6-1) ELEMENTO,PARA FILTRAR: TIPO: COMBUSTIBLE ACEITE TAMAÑO: DI 6-1/8"" X DE 8"" X L 32-1/2"" RETENCIÓN DE FILTRADO:10 MICRÓN MATERIAL:AÇO INOX 304 TEXTO (TEXT):PRESSURE:10BAR, ATTRIBUTE:MESH, BETA 200, USE:ALSTHOM GASTURBINE MODEL MS5001 TYPE PG5341 FABRICANTE (MANUFACTURER): LANZ ECOFILTER:729-KV-4-118-D-10-8-33-F1/E ",729-KV-4-118-D-10-8-33-F1/E
"ELECTRODO 3/32"" 308H ELECTRODO, DESIGNACION FABRICANTE: 308H, DIAMETRO: 3 32"", USO O APLICACION: ACERO INOXIDABLE",cant find the part number
"ELECTRODO 1/8"" E308H ELECTRODO, DESIGNACION FABRICANTE: E308H, DIAMETRO: 1 8"", USO O APLICACION: ACERO INOXIDABLE",E308H
"ALAMBRE TUBULAR SOL CARB 1,2mm E81T1A1 ALAMBRE; TIPO: TUBULAR SOLDADURA; MATERIAL: CARBONO MOLIBDENO; DIAMETRO:1,2mm; ESTANDARES Y ESPECIFICACIONES: CLASIFICACION AWS A5.20 E81T1-A1,CARACTERISTICAS ADICIONALES: DEBE VENIR EN ROLLOS DE 15KG",E81T1-A1
"TUBO LISO HDPE PE100 160mmX12m PN10 TUBO; TIPO TUBO: LISO; DIAMETRO: 160mm; LONGITUD: 12m; DESIGNADOR ESPESOR PARED: 10,1mm; MATERIAL: POLIETILENO ALTA DENSIDAD (PE100) ; PRESION OPERACIONAL MAXIMA: PN10; CARACTERISTICAS ADICIONALES: PESO POR METRO (kg): 4,52, PESO TOTAL (kg): 54,24",cant find the part number
"TUBO LISO HDPE PE100 160mmX12m PN16 TUBO; TIPO TUBO: LISO; DIAMETRO: 160mm; LONGITUD: 12m; DESIGNADOR ESPESOR PARED: 15,4mm; MATERIAL: POLIETILENO ALTA DENSIDAD (PE100) ; PRESION OPERACIONAL MAXIMA: PN16; CARACTERISTICAS ADICIONALES: PESO POR METRO (kg): 6,67, PESO TOTAL (kg): 80,04",cant find the part number
"FILTER ELEMENT,AIRCON,CAT 2593222 FILTER ELEMENT,AIRCON,CAT 2593222",The part number in the text is: 2593222
"Sello,Llanura Short Name: Sello,Liso Medios De Aplicación: Polvo Datos De Sello: PV351 Fabricante VIFMA SPA Número de pieza VF57635997 WI Referencial no generará Orden de Compra inmediata. Se requiere vigencia de cotización mínimo 3 meses (Precio proyectado y Plazo Entrega) En caso de que se genere un requerimiento por parte de nuestro cliente, se creará una nueva WI en forma directa, considerar que no necesariamente será por el total de las unidades solicitadas en esta WI, la cual es la demanda de 6 meses. Cualquier duda o consulta contactar a Maria Isabel +56 9 98224964 correo msantander@sawu.cl",VF57635997
"Cinta,Reparacion Tubería Short Name: Cinta,Reparacion Tubería Tipo De Cinta: Universal Ancho De Cinta: 100mm ancho Largo De Cinta: 3.6m lg Tape setting time: 15min tiempo reparación Características Especiales: 50 a 100mm dia tubería Características Especiales: 3mm tamaño orificio Características Especiales: 6bar max tuberia press Marca SYLWRAP WI Referencial no generará Orden de Compra inmediata. Se requiere vigencia de cotización mínimo 3 meses (Precio proyectado y Plazo Entrega) En caso de que se genere un requerimiento por parte de nuestro cliente, se creará una nueva WI en forma directa, considerar que no necesariamente será por el total de las unidades solicitadas en esta WI, la cual es la demanda de 6 meses. Cualquier duda o consulta contactar a Maria Isabel +56 9 98224964 correo msantander@sawu.cl",cant find the part number
"INTERRUPTOR,PROXIMIDAD Fabricante TELEMECANIQUE Número de pieza XSA-V11151 WI Referencial no generará Orden de Compra inmediata. Se requiere vigencia de cotización mínimo 3 meses (Precio proyectado y Plazo Entrega) En caso de que se genere un requerimiento por parte de nuestro cliente, se creará una nueva WI en forma directa, considerar que no necesariamente será por el total de las unidades solicitadas en esta WI, la cual es la demanda de 6 meses. Cualquier duda o consulta contactar a Maria Isabel +56 9 98224964 correo msantander@sawu.cl",XSA-V11151
"SENSOR,INDUCTIVO,CORRIENTE CONTINUA Fabricante TELEMECANIQUE Número de pieza XS630B2PBL01M12 WI Referencial no generará Orden de Compra inmediata. Se requiere vigencia de cotización mínimo 3 meses (Precio proyectado y Plazo Entrega) En caso de que se genere un requerimiento por parte de nuestro cliente, se creará una nueva WI en forma directa, considerar que no necesariamente será por el total de las unidades solicitadas en esta WI, la cual es la demanda de 6 meses. Cualquier duda o consulta contactar a Maria Isabel +56 9 98224964 correo msantander@sawu.cl",XS630B2PBL01M12
